,race,year,stage,distance,vert_meters,profile_score,startlist_qual,time_gap
63,tour-de-france,2003,1,168.0,1476.0,31.0,1688.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
64,tour-de-france,2003,2,204.5,2461.0,73.0,1688.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
65,tour-de-france,2003,3,167.5,1605.0,32.0,1688.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
66,tour-de-france,2003,4,69.0,592.0,21.0,1688.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
67,tour-de-france,2003,5,196.5,2316.0,49.0,1688.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
68,tour-de-france,2003,6,230.0,2000.0,69.0,1688.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
69,tour-de-france,2003,7,230.5,4500.0,340.0,1688.0,"[149.2, 225.3, 243.4, 246.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
70,tour-de-france,2003,8,219.0,5500.0,550.0,1688.0,"[105.1, 132.2, 0, 0, 0, 0, 0, 0, 216.3, 0, 0, 0, 255.4, 286.4, 0]"
71,tour-de-france,2003,9,184.5,4500.0,314.0,1688.0,"[36.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52.0, 0, 66.1, 0, 0]"
72,tour-de-france,2003,10,219.5,2000.0,100.0,1688.0,"[0, 49.0, 127.2, 0, 0, 0, 0, 306.5, 1492.1, 0, 0, 0, 0, 0, 0]"
73,tour-de-france,2003,11,153.5,1858.0,61.0,1688.0,"[4.0, 0, 15.0, 23.0, 0, 0, 0, 42.0, 0, 0, 0, 0, 0, 0, 0]"
74,tour-de-france,2003,12,47.0,712.0,49.0,1688.0,"[96.1, 126.2, 160.2, 163.2, 206.3, 235.3, 241.4, 277.4, 300.5, 0, 303.5, 306.5, 315.5, 325.5, 327.5]"
75,tour-de-france,2003,13,197.5,4000.0,496.0,1688.0,"[61.1, 63.1, 68.1, 78.1, 80.1, 84.1, 119.1, 152.2, 154.2, 186.3, 189.3, 226.3, 235.3, 0, 0]"
76,tour-de-france,2003,14,191.5,5000.0,498.0,1688.0,"[0, 0, 3.0, 10.0, 41.0, 0, 0, 84.1, 0, 0, 0, 184.3, 0, 0, 271.4]"
77,tour-de-france,2003,15,159.5,4500.0,564.0,1688.0,"[40.0, 0, 0, 43.0, 47.0, 70.1, 127.2, 165.2, 167.2, 192.3, 0, 0, 204.3, 0, 250.4]"
78,tour-de-france,2003,16,197.5,4000.0,243.0,1688.0,"[115.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
79,tour-de-france,2003,17,181.0,808.0,7.0,1688.0,"[17.0, 0, 0, 0, 0, 0, 0, 0, 115.1, 486.8, 0, 0, 0, 0, 0]"
80,tour-de-france,2003,18,202.5,1678.0,16.0,1688.0,"[0, 0, 4.0, 19.0, 0, 0, 0, 35.0, 0, 0, 0, 0, 0, 0, 0]"
81,tour-de-france,2003,19,49.0,395.0,12.0,1688.0,"[9.0, 14.0, 25.0, 26.0, 56.0, 60.1, 68.1, 72.1, 86.1, 98.1, 100.1, 103.1, 106.1, 116.1, 0]"
82,tour-de-france,2003,20,152.0,757.0,7.0,1688.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
83,tour-de-france,2003,21,,,,,
84,tour-de-france,2004,1,202.5,2864.0,68.0,1555.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
85,tour-de-france,2004,2,197.0,1852.0,44.0,1555.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
86,tour-de-france,2004,3,210.0,1615.0,18.0,1555.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.0, 0]"
87,tour-de-france,2004,4,64.5,653.0,11.0,1555.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, 61.3, nan, nan, nan, nan, nan]"
88,tour-de-france,2004,5,200.5,2026.0,37.0,1555.0,"[0, 0, 0, 3.0, 1051.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
89,tour-de-france,2004,6,196.0,1398.0,19.0,1555.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
90,tour-de-france,2004,7,204.5,2306.0,52.0,1555.0,"[0, 0, 10.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
91,tour-de-france,2004,8,168.0,2306.0,70.0,1555.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
92,tour-de-france,2004,9,160.5,2000.0,96.0,1555.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
93,tour-de-france,2004,10,237.0,4500.0,258.0,1555.0,"[319.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 326.5]"
94,tour-de-france,2004,11,164.0,3248.0,175.0,1555.0,"[135.2, 137.2, 358.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
95,tour-de-france,2004,12,197.5,3867.0,344.0,1555.0,"[0, 20.0, 24.0, 33.0, 50.0, 59.0, 62.1, 63.1, 0, 0, 92.1, 99.1, 119.1, 0, 0]"
96,tour-de-france,2004,13,205.5,5500.0,560.0,1555.0,"[0, 65.1, 87.1, 0, 162.2, 170.2, 171.2, 0, 223.3, 269.4, 0, 282.4, 356.5, 366.6, 394.6]"
97,tour-de-france,2004,14,192.5,1808.0,38.0,1555.0,"[25.0, 0, 29.0, 31.0, 0, 0, 37.0, 41.0, 43.0, 961.4, 0, 0, 0, 0, 0]"
98,tour-de-france,2004,15,180.5,4818.0,367.0,1555.0,"[0, 3.0, 6.0, 13.0, 48.0, 49.0, 53.0, 64.1, 84.1, 118.1, 122.2, 130.2, 131.2, 133.2, 0]"
99,tour-de-france,2004,16,15.5,1384.0,249.0,1555.0,"[61.1, 101.1, 105.1, 131.2, 0, 135.2, 143.2, 0, 147.2, 153.2, 154.2, 184.3, 186.3, 189.3, 195.3]"
100,tour-de-france,2004,17,204.5,6000.0,505.0,1555.0,"[0, 1.0, 0, 13.0, 61.1, 0, 62.1, 0, 0, 0, 120.2, 125.2, 0, 0, 0]"
101,tour-de-france,2004,18,166.5,2500.0,167.0,1555.0,"[0, 11.0, 0, 0, 0, 951.1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
102,tour-de-france,2004,19,55.0,1042.0,89.0,1555.0,"[61.1, 87.1, 145.2, 168.2, 170.2, 199.3, 213.3, 220.3, 229.3, 236.3, 246.4, 257.4, 273.4, 293.4, 294.4]"
103,tour-de-france,2004,20,163.0,1453.0,25.0,1555.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
104,tour-de-france,2004,21,,,,,
105,tour-de-france,2005,1,19.0,27.0,0.0,1535.0,"[2.0, 53.0, 57.0, 59.0, 62.1, 0, 64.1, 65.1, 66.1, 67.1, 68.1, 72.1, 73.1, 0, 76.1]"
106,tour-de-france,2005,2,182.0,432.0,1.0,1535.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
107,tour-de-france,2005,3,212.0,1465.0,19.0,1535.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
108,tour-de-france,2005,4,67.5,355.0,7.0,1535.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, 61.0, nan, nan, nan, nan, nan]"
109,tour-de-france,2005,5,183.0,1018.0,6.0,1535.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
110,tour-de-france,2005,6,199.0,1750.0,41.0,1535.0,"[0, 7.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
111,tour-de-france,2005,7,228.0,1314.0,12.0,1535.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
112,tour-de-france,2005,8,231.0,2493.0,100.0,1535.0,"[0, 27.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
113,tour-de-france,2005,9,171.0,2805.0,94.0,1535.0,"[184.3, 0, 364.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
114,tour-de-france,2005,10,181.0,4197.0,313.0,1535.0,"[0, 9.0, 0, 62.1, 75.1, 134.2, 0, 0, 0, 0, 0, 0, 139.2, 170.2, 178.2]"
115,tour-de-france,2005,11,173.0,4280.0,261.0,1535.0,"[1.0, 75.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
116,tour-de-france,2005,12,187.0,3021.0,148.0,1535.0,"[57.0, 0, 0, 0, 0, 0, 0, 195.3, 0, 0, 198.3, 201.3, 931.0, 0, 0]"
117,tour-de-france,2005,13,174.0,1117.0,12.0,1535.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
118,tour-de-france,2005,14,174.0,4188.0,334.0,1535.0,"[56.0, 58.0, 76.1, 91.1, 0, 107.1, 0, 126.2, 140.2, 186.3, 215.3, 243.4, 0, 256.4, 258.4]"
119,tour-de-france,2005,15,206.0,5633.0,489.0,1535.0,"[6.0, 38.0, 57.0, 139.2, 304.5, 0, 388.6, 0, 392.6, 0, 453.7, 474.7, 494.8, 527.8, 0]"
120,tour-de-france,2005,16,181.0,3560.0,150.0,1535.0,"[0, 0, 0, 145.2, 0, 0, 0, 0, 0, 148.2, 152.2, 204.3, 0, 0, 0]"
121,tour-de-france,2005,17,240.0,2830.0,92.0,1535.0,"[0, 8.0, 11.0, 24.0, 51.0, 0, 53.0, 194.3, 0, 0, 0, 0, 249.4, 0, 0]"
122,tour-de-france,2005,18,189.0,2947.0,157.0,1535.0,"[27.0, 0, 68.1, 0, 88.1, 0, 104.1, 123.2, 158.2, 841.1, 0, 0, 0, 1211.1, 0]"
123,tour-de-france,2005,19,154.0,2344.0,66.0,1535.0,"[10.0, 0, 12.0, 163.2, 168.2, 0, 0, 0, 230.3, 261.4, 0, 0, 271.4, 0, 0]"
124,tour-de-france,2005,20,55.0,806.0,50.0,1535.0,"[23.0, 76.1, 93.1, 114.1, 122.2, 126.2, 145.2, 171.2, 185.3, 189.3, 190.3, 191.3, 193.3, 205.3, 206.3]"
125,tour-de-france,2005,21,144.0,851.0,7.0,1535.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
126,tour-de-france,2006,1,184.5,913.0,5.0,1340.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
127,tour-de-france,2006,2,228.5,2679.0,65.0,1340.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
128,tour-de-france,2006,3,216.5,2423.0,66.0,1340.0,"[5.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
129,tour-de-france,2006,4,207.0,1736.0,20.0,1340.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
130,tour-de-france,2006,5,225.0,1595.0,22.0,1340.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
131,tour-de-france,2006,6,189.0,1378.0,18.0,1340.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
132,tour-de-france,2006,7,52.0,389.0,1.0,1340.0,"[60.1, 64.1, 83.1, 93.1, 98.1, 101.1, 103.1, 0, 104.1, 109.1, 111.1, 116.1, 122.2, 123.2, 124.2]"
133,tour-de-france,2006,8,181.0,1465.0,17.0,1340.0,"[125.2, 0, 135.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
134,tour-de-france,2006,9,169.5,326.0,0.0,1340.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
135,tour-de-france,2006,10,190.5,3595.0,174.0,1340.0,"[0, 56.0, 144.2, 145.2, 303.5, 335.5, 443.7, 0, 0, 0, 0, 0, 0, 0, 0]"
136,tour-de-france,2006,11,206.5,5721.0,307.0,1340.0,"[0, 0, 17.0, 0, 64.1, 91.1, 0, 0, 149.2, 186.3, 0, 0, 0, 250.4, 0]"
137,tour-de-france,2006,12,211.5,1750.0,30.0,1340.0,"[27.0, 29.0, 35.0, 265.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
138,tour-de-france,2006,13,231.0,1647.0,18.0,1340.0,"[0, 40.0, 0, 384.6, 2312.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
139,tour-de-france,2006,14,180.5,2644.0,76.0,1340.0,"[0, 3.0, 7.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
140,tour-de-france,2006,15,187.0,4442.0,335.0,1340.0,"[11.0, 70.1, 0, 0, 74.1, 78.1, 88.1, 95.1, 109.1, 141.2, 0, 0, 169.2, 0, 0]"
141,tour-de-france,2006,16,182.0,5456.0,393.0,1340.0,"[101.1, 114.1, 116.1, 0, 157.2, 0, 0, 204.3, 222.3, 0, 0, 0, 261.4, 393.6, 475.7]"
142,tour-de-france,2006,17,200.5,4356.0,308.0,1340.0,"[342.5, 358.5, 400.6, 428.7, 0, 0, 0, 0, 440.7, 444.7, 0, 0, 517.8, 0, 529.8]"
143,tour-de-france,2006,18,197.0,1751.0,47.0,1340.0,"[0, 2.0, 47.0, 63.1, 0, 0, 0, 0, 0, 0, 0, 0, 66.1, 145.2, 480.8]"
144,tour-de-france,2006,19,57.0,376.0,8.0,1340.0,"[41.0, 71.1, 160.2, 198.3, 215.3, 221.3, 0, 223.3, 224.3, 241.4, 243.4, 255.4, 256.4, 261.4, 272.4]"
145,tour-de-france,2006,20,154.5,376.0,9.0,1340.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
146,tour-de-france,2006,21,,,,,
147,tour-de-france,2007,1,203.0,1709.0,27.0,1612.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
148,tour-de-france,2007,2,168.5,337.0,0.0,1612.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
149,tour-de-france,2007,3,236.5,1397.0,12.0,1612.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
150,tour-de-france,2007,4,193.0,1652.0,34.0,1612.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
151,tour-de-france,2007,5,182.5,2703.0,88.0,1612.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
152,tour-de-france,2007,6,199.5,1484.0,20.0,1612.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
153,tour-de-france,2007,7,197.5,3250.0,199.0,1612.0,"[40.0, 99.1, 134.2, 141.2, 212.3, 218.3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
154,tour-de-france,2007,8,165.0,4933.0,344.0,1612.0,"[167.2, 192.3, 193.3, 0, 0, 0, 211.3, 215.3, 0, 239.3, 0, 0, 253.4, 0, 269.4]"
155,tour-de-france,2007,9,159.5,3458.0,247.0,1612.0,"[38.0, 0, 40.0, 42.0, 0, 0, 46.0, 0, 0, 54.0, 0, 92.1, 96.1, 109.1, 204.3]"
156,tour-de-france,2007,10,229.5,1917.0,44.0,1612.0,"[0, 0, 0, 0, 36.0, 0, 61.1, 154.2, 0, 222.3, 961.0, 0, 0, 0, 0]"
157,tour-de-france,2007,11,182.5,854.0,7.0,1612.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
158,tour-de-france,2007,12,178.5,2337.0,74.0,1612.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
